"","word","freq"
"area","area",4
"arent","arent",4
"argu","argu",16
"argument","argument",1
"argument"",","argument"",",1
"aris","aris",1
"arithmet","arithmet",3
"arjun","arjun",9
"arm","arm",39
"armi","armi",4
"around","around",3
"arr"",","arr"",",1
"arrang","arrang",1
"arrest","arrest",18
"arrog","arrog",1
"arrog"",","arrog"",",2
"arroganc"",","arroganc"",",1
"articl","articl",7
"articl"",","articl"",",7
"articul","articul",1
"arvind","arvind",1
"aryahind"",","aryahind"",",1
"aryan","aryan",1
"asham","asham",1
"asham"",","asham"",",1
"asian","asian",1
"ask","ask",29
"ask"",","ask"",",2
"assam","assam",1
"assass"",","assass"",",1
"assassin","assassin",1
"assassinationkil","assassinationkil",1
"assaultin"",","assaultin"",",1
"assembl","assembl",3
"assess","assess",1
"asset","asset",2
"asset"",","asset"",",1
"assin","assin",1
"associ"",","associ"",",1
"associationignoursasaid","associationignoursasaid",1
"assum","assum",2
"assur","assur",3
"astut","astut",1
"asur"",","asur"",",2
"asura","asura",1
"atal","atal",1
"ate","ate",1
"ati","ati",1
"atish","atish",1
"atishi"",","atishi"",",1
"atleast","atleast",3
"atop","atop",1
"attack","attack",9
"attempt","attempt",2
"attend"",","attend"",",3
"attent","attent",1
"atthat","atthat",2
"attitud","attitud",2
"au"",","au"",",1
"audac","audac",1
"aukaat","aukaat",1
"aunti"",","aunti"",",1
"aur","aur",3
"auster","auster",1
"australia","australia",1
"author","author",10
"avoid","avoid",2
"awakewhat","awakewhat",1
"awar","awar",1
"award"",","award"",",1
"away","away",2
"away"",","away"",",1
"ay"",","ay"",",1
"ayaa"",","ayaa"",",1
"azamgarh","azamgarh",9
"azamgarh"",","azamgarh"",",4
"azher","azher",1
"b"",","b"",",5
"baap","baap",2
"baar","baar",1
"babua","babua",1
"babusagrriev","babusagrriev",1
"bachchan","bachchan",1
"back","back",27
"back"",","back"",",2
"backflip","backflip",1
"bad","bad",6
"bad"",","bad"",",1
"badnam","badnam",1
"badshah","badshah",2
"bagh","bagh",1
"bail","bail",2
"bake","bake",3
"bakra"",","bakra"",",1
"bakwa","bakwa",1
"ban","ban",10
"ban"",","ban"",",1
"band","band",1
"banerje","banerje",2
"bangl"",","bangl"",",1
"bangla","bangla",1
"bangladesh","bangladesh",1
"bank","bank",1
"bar","bar",2
"barg","barg",1
"bark","bark",3
"barkhav"",","barkhav"",",1
"barrackpor","barrackpor",1
"barrier","barrier",1
"bas"",","bas"",",1
"basaratloksabha","basaratloksabha",1
"base","base",3
"basic","basic",2
"bastard","bastard",1
"bat","bat",1
"bath","bath",2
"batsman","batsman",1
"battl","battl",1
"bbsr","bbsr",1
"bcos","bcos",2
"beant","beant",1
"bear","bear",1
"beard","beard",1
"beat"",","beat"",",1
"beauti","beauti",1
"becam","becam",1
"becausecongresss","becausecongresss",2
"becom","becom",30
"bed","bed",1
"bedi","bedi",1
"beef","beef",2
"bef"",","bef"",",1
"beg","beg",2
"beg"",","beg"",",1
"begin","begin",1
"behalf","behalf",1
"behind","behind",1
"behind"",","behind"",",1
"beli"",","beli"",",1
"believ","believ",10
"belong","belong",1
"belov","belov",2
"belt","belt",1
"bengal","bengal",19
"bengal"",","bengal"",",1
"bengale","bengale",1
"bengali","bengali",1
"bengalwatch","bengalwatch",6
"best","best",21
"better","better",11
"bhadrak","bhadrak",1
"bhag","bhag",2
"bhagalpur","bhagalpur",1
"bhaghat","bhaghat",9
"bhai","bhai",1
"bhakht","bhakht",2
"bhakt","bhakt",21
"bhakt"",","bhakt"",",2
"bhale","bhale",1
"bhalla","bhalla",2
"bharat","bharat",5
"bharath"",","bharath"",",16
"bharati"",","bharati"",",1
"bharatmataa","bharatmataa",1
"bhatia","bhatia",1
"bhi","bhi",4
"bhojpuri","bhojpuri",1
"bias","bias",9
"bias"",","bias"",",1
"big","big",6
"big"",","big"",",1
"bigboss"",","bigboss"",",1
"bigger","bigger",4
"biggest","biggest",4
"bigot","bigot",1
"bihar","bihar",1
"bihari","bihari",1
"bill","bill",3
"bio"",","bio"",",1
"birth","birth",1
"birthday"",","birthday"",",1
"bit","bit",2
"bitter","bitter",1
"bjp","bjp",83
"bjp"",","bjp"",",10
"bjpbhind","bjpbhind",1
"bjpbjpindia","bjpbjpindia",1
"bjpdatia"",","bjpdatia"",",1
"bjphehe"",","bjphehe"",",1
"bjpindia","bjpindia",1
"bjpindia"",","bjpindia"",",1
"bjpmp","bjpmp",1
"bjps","bjps",7
"bjpshame"",","bjpshame"",",1
"black","black",4
"blame","blame",8
"blame"",","blame"",",1
"blatant","blatant",1
"blindfollow","blindfollow",1
"block","block",1
"blood","blood",2
"bloodi","bloodi",1
"blow","blow",1
"blue","blue",1
"blunder","blunder",1
"bo"",","bo"",",1
"bodi","bodi",2
"bogey","bogey",1
"bol","bol",2
"bola","bola",2
"bolo","bolo",1
"bomb","bomb",2
"bonus","bonus",1
"book","book",12
"book"",","book"",",1
"boost","boost",5
"boot","boot",2
"bootlick","bootlick",1
"bora","bora",2
"born","born",2
"bothgreat","bothgreat",1
"bought","bought",1
"bout","bout",1
"box","box",1
"boycott","boycott",1
"boycotttimemagazin"",","boycotttimemagazin"",",1
"brain","brain",3
"branch","branch",3
"brand","brand",18
"brave","brave",1
"brawl"",","brawl"",",1
"bray","bray",1
"bread","bread",1
"break","break",1
"brig","brig",1
"bring","bring",1
"british","british",1
"bro","bro",1
"bro"",","bro"",",1
"broadcast","broadcast",3
"brotherkhangressi","brotherkhangressi",1
"brought","brought",1
"brush","brush",1
"brutal","brutal",3
"btw","btw",1
"bua","bua",1
"buddha","buddha",1
"buddi"",","buddi"",",1
"build","build",7
"build"",","build"",",1
"built","built",1
"bujhk","bujhk",2
"bura","bura",1
"burden","burden",10
"burqa","burqa",1
"busi","busi",5
"busi"",","busi"",",1
"buy","buy",3
"buyer","buyer",1
"byee","byee",2
"c"",","c"",",10
"c(""sir","c(""sir",1
"ca"",","ca"",",2
"cab","cab",1
"cake"",","cake"",",1
"calcul","calcul",4
"call","call",15
"call"",","call"",",1
"calm"",","calm"",",2
"cam"",","cam"",",1
"came","came",4
"camp","camp",2
"campaign","campaign",15
"campaign"",","campaign"",",1
"campaignersladakh","campaignersladakh",1
"can","can",38
