"","word","freq"
"clean","clean",31
"cleanli"",","cleanli"",",1
"clear","clear",2
"close","close",2
"closest","closest",1
"clout","clout",1
"clown","clown",1
"clown"",","clown"",",1
"clue","clue",1
"cnf","cnf",1
"cnns","cnns",4
"co"",","co"",",3
"coalit"",","coalit"",",1
"coalscam","coalscam",1
"cock","cock",2
"cohes","cohes",1
"colleagu","colleagu",1
"collegu","collegu",1
"coloni","coloni",4
"column"",","column"",",1
"combin"",","combin"",",1
"combinedgood","combinedgood",1
"come","come",41
"come"",","come"",",1
"comedi","comedi",1
"comm"",","comm"",",2
"command","command",1
"comment","comment",60
"comment"",","comment"",",5
"commit","commit",1
"communal","communal",1
"communic","communic",3
"compaign","compaign",1
"compar"",","compar"",",1
"compel","compel",1
"complaint","complaint",2
"complaint"",","complaint"",",2
"complet","complet",9
"complex","complex",1
"compliment"",","compliment"",",1
"compon","compon",3
"comprom"",","comprom"",",1
"compromis","compromis",2
"comput","comput",1
"con"",","con"",",3
"concept","concept",1
"concern","concern",38
"concern"",","concern"",",16
"condemn","condemn",3
"condit","condit",1
"confer","confer",1
"confer"",","confer"",",3
"confid","confid",3
"confid"",","confid"",",1
"confirm","confirm",2
"confus","confus",1
"cong","cong",7
"cong"",","cong"",",2
"congr"",","congr"",",8
"congrat","congrat",3
"congratul","congratul",1
"congresi","congresi",1
"congress","congress",171
"congress"",","congress"",",7
"congressi","congressi",1
"congressi"",","congressi"",",1
"congressman","congressman",1
"congressmuktbharat","congressmuktbharat",1
"conqu"",","conqu"",",3
"consecut","consecut",1
"consid","consid",3
"constitut","constitut",2
"contempt","contempt",1
"content","content",1
"contest","contest",1
"continu","continu",11
"contract","contract",1
"contribut","contribut",2
"controversi","controversi",2
"convert","convert",1
