"","word","freq"
"better","better",2
"bey"",","bey"",",1
"beyond","beyond",2
"bhagat","bhagat",1
"bhaghat","bhaghat",9
"bhakt","bhakt",6
"bhakt"",","bhakt"",",1
"bhalla","bhalla",2
"bharat","bharat",6
"bharata"",","bharata"",",1
"bharath"",","bharath"",",17
"bharatvarsha","bharatvarsha",1
"bhi","bhi",3
"bhoolgya"",","bhoolgya"",",1
"bhopalelect","bhopalelect",1
"bhula"",","bhula"",",1
"bias","bias",4
"bicker"",","bicker"",",1
"big","big",99
"big"",","big"",",1
"bigger","bigger",1
"bigger"",","bigger"",",1
"biggest","biggest",30
"bikey","bikey",1
"bilkul","bilkul",1
"billion","billion",2
"biographi","biographi",1
"birth","birth",1
"birth"",","birth"",",1
"bit","bit",1
"bj"",","bj"",",1
"bjp","bjp",39
"bjp"",","bjp"",",10
"bjpee","bjpee",1
"bjphehe"",","bjphehe"",",1
"bjpindia","bjpindia",1
"black","black",1
"blame","blame",6
"blame"",","blame"",",1
"blind","blind",3
"block","block",1
"blow","blow",4
"bluf"",","bluf"",",1
"blunder","blunder",1
"bo"",","bo"",",1
"board","board",1
"bodi","bodi",1
"bofor","bofor",3
"bofor"",","bofor"",",1
"boforsjkgovernor","boforsjkgovernor",1
"bogey","bogey",1
"bol","bol",1
"bolna","bolna",1
"bolt","bolt",1
"bomb","bomb",1
"bombay","bombay",1
"bonus","bonus",1
"book","book",2
"boot","boot",2
"bootlick","bootlick",1
"border","border",1
"born","born",3
"bother","bother",2
"bout","bout",1
"boy","boy",1
"brain","brain",1
"brand","brand",1
"brass","brass",37
"brave","brave",3
"brawl"",","brawl"",",1
"bray","bray",1
"brazen","brazen",11
"break","break",33
"breath","breath",2
"bremmer","bremmer",1
"bridg","bridg",1
"bring","bring",3
"british","british",2
"broadcast","broadcast",4
"brock","brock",1
"broker"",","broker"",",3
"brother","brother",2
"brothersbi","brothersbi",1
"brought","brought",2
"brush","brush",1
"brutal","brutal",3
"bsp","bsp",1
"btw","btw",2
"buckl","buckl",1
"buddhist","buddhist",3
"buddi","buddi",2
"buddi"",","buddi"",",2
"buffon","buffon",1
"build","build",15
"built","built",5
"built"",","built"",",1
"bulk","bulk",1
"bun","bun",2
"bunch","bunch",2
"buoyanc","buoyanc",1
"bur"",","bur"",",1
"bura","bura",1
"burden","burden",1
"burma"",","burma"",",1
